group,top_filtered_markers,cells
0,"CCL5, NKG7, B2M, GZMA, CST7, CTSW, HLA-C, IL32, HLA-A, GZMK, CD3D, LYAR, HLA-B, PTPRCAP, GZMM",273
1,"CD74, CD79A, HLA-DRA, CD79B, HLA-DPB1, HLA-DQA1, MS4A1, HLA-DRB1, HLA-DQB1, CD37, HLA-DPA1, HLA-DRB5, TCL1A, RPL18A, HLA-DMA",348
2,"LTB, LDHB, IL32, IL7R, CD3D, TPT1, CD3E, JUNB, RPS25, RPS12, CD2, JUN, RPS3, RPSA, RPS29",602
3,"LYZ, S100A9, S100A8, CST3, TYROBP, LGALS2, FTL, LGALS1, S100A6, FCN1, FTH1, GSTP1, GPX1, TYMP, AIF1",502
4,"LST1, FCER1G, AIF1, COTL1, FCGR3A, FTH1, IFITM3, SAT1, IFITM2, SERPINA1, PSAP, FTL, CTSS, S100A11, OAZ1",171
5,"NKG7, GZMB, PRF1, CST7, CTSW, GZMA, GNLY, FGFBP2, B2M, HLA-C, CD247, HLA-A, FCGR3A, GZMM, SPON2",153
6,"MALAT1, RPS29, CD3D, IL32, CCL5",128
7,"RPS12, RPS6, RPL32, RPS27, RPS3A, RPL9, RPS14, RPL21, RPL31, RPS25, RPL13, RPS13, RPLP2, RPL3, RPS15A",450
8,"GNG11, PF4, SPARC, PPBP, CD9, SDPR, GPX1, TPM4, HIST1H2AC, RGS18, TAGLN2, NRGN, RGS10, CALM3, OAZ1",11
