group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,fraction_expressing_in_cluster,fraction_expressing_outside_cluster,expression_fraction_gap
0,NKG7,31.115158,6.977185,1.5022685387758554e-212,2.0514979165523083e-208,0.9354838709677419,0.16244822825586747,0.9354838709677419,0.16244822825586747,0.7730356427118744
0,CST7,27.06081,6.259276,2.849777258027139e-161,1.9458279117809305e-157,0.8172043010752689,0.06350667280257709,0.8172043010752689,0.06350667280257709,0.7536976282726918
0,CCL5,26.985039,5.5338135,2.2144315543718827e-160,1.008009243550081e-156,0.8602150537634409,0.20018407731247123,0.8602150537634409,0.20018407731247123,0.6600309764509696
0,GZMA,26.780167,6.081553,5.5010071012526026e-158,1.8780438243676385e-154,0.8150537634408602,0.06534744592728946,0.8150537634408602,0.06534744592728946,0.7497063175135708
0,CTSW,26.325308,4.5475545,9.843649543772243e-153,2.6884975633950747e-149,0.8387096774193549,0.18407731247123793,0.8387096774193549,0.18407731247123793,0.6546323649481169
0,B2M,26.090483,0.9117354,4.675235131135048e-150,1.0640835158463371e-146,1.0,0.9995398067188219,1.0,0.9995398067188219,0.00046019328117807845
0,HLA-C,24.431513,1.197987,7.912899752263875e-132,1.5436937002416498e-128,0.9913978494623656,0.9792913023469857,0.9913978494623656,0.9792913023469857,0.012106547115379951
0,HLA-A,22.254894,1.1984677,1.0113348552083518e-109,1.7263485978406567e-106,0.9935483870967742,0.9595029912563277,0.9935483870967742,0.9595029912563277,0.034045395840446524
0,PRF1,20.004784,5.4529877,5.003435004285594e-89,7.591878713169342e-86,0.6193548387096774,0.057063966866083754,0.6193548387096774,0.057063966866083754,0.5622908718435937
0,HLA-B,18.574938,0.9478882,5.1265242944544415e-77,7.000781576506985e-74,0.9698924731182795,0.9433962264150944,0.9698924731182795,0.9433962264150944,0.026496246703185178
0,GZMM,18.53405,3.3503175,1.0971070114195837e-76,1.362008486176894e-73,0.6365591397849463,0.1606074551311551,0.6365591397849463,0.1606074551311551,0.4759516846537912
0,PTPRCAP,17.541317,1.8342547,6.930238571415258e-69,7.886611494270564e-66,0.8774193548387097,0.5913483663138518,0.8774193548387097,0.5913483663138518,0.2860709885248579
0,HCST,16.420288,1.8494331,1.3691615218139605e-60,1.2464846494594296e-57,0.7677419354838709,0.49148642429820527,0.7677419354838709,0.49148642429820527,0.27625551118566566
0,GZMB,16.29642,5.9486737,1.0464765785151068e-59,8.931677597626437e-57,0.5032258064516129,0.038656235618959964,0.5032258064516129,0.038656235618959964,0.4645695708326529
0,FGFBP2,15.831732,6.032561,1.8797460082655222e-56,1.3510427099407352e-53,0.4838709677419355,0.02991256327657616,0.4838709677419355,0.02991256327657616,0.45395840446535934
0,GZMH,15.549076,6.3642383,1.6141662856526148e-54,1.1021527398436054e-51,0.47096774193548385,0.020708697653014266,0.47096774193548385,0.020708697653014266,0.4502590442824696
0,GNLY,15.492894,5.0511293,3.8744872995398064e-54,2.5195237410721714e-51,0.513978494623656,0.10860561435803037,0.513978494623656,0.10860561435803037,0.40537288026562557
0,IL32,15.058161,1.919326,3.051593608909061e-51,1.811850535794006e-48,0.7849462365591398,0.5025310630464795,0.7849462365591398,0.5025310630464795,0.2824151735126602
0,MALAT1,14.856508,0.7157297,6.313098156199623e-50,3.5921528508775855e-47,1.0,0.9995398067188219,1.0,0.9995398067188219,0.00046019328117807845
0,CD99,14.341107,1.643641,1.2110806913910808e-46,6.125377008013555e-44,0.7268817204301076,0.4592728946157386,0.7268817204301076,0.4592728946157386,0.26760882581436896
0,CCL4,13.905769,4.768281,5.843477859512428e-44,2.751673574120749e-41,0.44086021505376344,0.04371836171191901,0.44086021505376344,0.04371836171191901,0.39714185334184443
0,HOPX,13.772106,3.658273,3.751150436657669e-43,1.652442269774101e-40,0.4666666666666667,0.08053382420616659,0.4666666666666667,0.08053382420616659,0.38613284246050006
0,MYL12A,13.734707,0.9352594,6.2909798679722305e-43,2.6846756586571493e-40,0.9354838709677419,0.8610216290842154,0.9354838709677419,0.8610216290842154,0.07446224188352646
0,RARRES3,13.620531,1.6611255,3.0235931529569996e-42,1.2512178211145694e-39,0.6881720430107527,0.42567878508973767,0.6881720430107527,0.42567878508973767,0.2624932579210151
0,CD247,13.4472885,2.4896433,3.193688487355584e-41,1.2460859995236528e-38,0.5419354838709678,0.20938794293603313,0.5419354838709678,0.20938794293603313,0.33254754093493466
0,PFN1,13.217964,0.81712574,6.9108988018482184e-40,2.5506820010280885e-37,0.9720430107526882,0.9397146801656696,0.9720430107526882,0.9397146801656696,0.03232833058701856
0,HLA-E,13.174595,0.84652305,1.2288499546951142e-39,4.302865379824738e-37,0.9268817204301075,0.878969167050161,0.9268817204301075,0.878969167050161,0.04791255337994649
0,LYAR,12.954494,2.9168584,2.2159047132670729e-38,7.380584088871988e-36,0.4731182795698925,0.12011044638748274,0.4731182795698925,0.12011044638748274,0.35300783318240975
0,GZMK,12.26404,4.168402,1.4127752121605307e-34,4.01934547859671e-32,0.4021505376344086,0.051081454210768526,0.4021505376344086,0.051081454210768526,0.35106908342364007
0,APOBEC3G,12.165896,2.5044568,4.722313829146301e-34,1.3160799520575896e-31,0.4752688172043011,0.16152784169351128,0.4752688172043011,0.16152784169351128,0.31374097551078983
0,ID2,11.747665,1.7435846,7.259667374568279e-32,1.8705286352283852e-29,0.6064516129032258,0.34054302807179015,0.6064516129032258,0.34054302807179015,0.26590858483143565
