gene,training_f_score
HLA-A,80.04042789665607
ASGR1,80.00587389117298
HLA-C,79.93654174184594
RPLP0,79.77490908787313
FGL2,79.74851153008096
S100A10,78.68587795911695
ARPC3,78.00920536641128
RPS20,77.46394002053863
RPL36,77.09657114782766
PRSS23,76.693786870461
C1orf162,76.14853870116454
HLA-DMB,75.85708621245064
RPL15,75.74887088456997
STX11,74.77590038855989
MYL12A,73.88409623915409
ASAH1,73.85732979192957
MPP1,73.64212577283601
TTC38,73.51525149081789
SLC31A2,73.19047790449488
CD2,73.05872064418813
IFI6,72.95667608621127
LCK,72.93062014813923
ARHGAP6,72.28763650487315
KLF4,72.25905492646692
PLAUR,72.13367614486151
ARPC1B,71.92853491360843
TPM1,71.87513460329932
TSPAN13,71.86831338379898
BID,71.80925037226528
RPL29,71.3795870762455
SNCA,71.37628488090785
ITGB2,71.35229459387288
C5AR1,71.07861053614377
RPL6,70.73994742222717
FCRLA,70.0803463861234
RPL8,70.07026407449914
ABI3,69.86298502555852
RPS7,69.71982520826306
PRELID1,69.29331757209287
C6orf25,69.0863474123407
TGFBI,69.04460549653399
PFN1,68.62846626663176
TSC22D1,67.57041058671379
AES,67.37231389147863
ANXA1,67.33047695105566
CTSL,67.16810858851778
MATK,67.13260059084796
PLBD1,66.58072992564017
SMCO4,66.27927031052474
GPR56,66.11742663293091
CKB,65.6649230156275
CD33,65.44767679005274
SIGLEC10,65.1654763037217
CLIC1,65.03202629581104
BLVRA,64.98081180213569
SLC11A1,64.68722714742927
CCR7,64.55633719356435
GIMAP7,64.25916273148705
ODF3B,63.97813866014414
MYL6,63.968126894386856
LCN2,63.774597716147895
SCN1B,63.645296928204424
CPPED1,63.432994212908405
RARRES3,63.378643860630724
MS4A4A,63.170793324861265
MPEG1,62.98927914296117
ANXA5,62.933563661049064
FOLR3,62.82880434267737
IFITM2,62.702594800861206
S1PR5,62.6056613329852
FKBP1A,62.43112630598895
WARS,62.218141549934295
CTSC,62.08954922340977
APMAP,61.849499138150534
ALOX12,61.57661643439168
CXCR4,61.18876213828724
PDZK1IP1,60.45852499161978
BATF3,60.306531151937165
RPL35,60.15884875764097
RP11-879F14.2,59.27256803517058
RPS26,59.1397656606786
LILRB1,59.02458761299137
FCGR2A,58.81855325104959
CAPG,58.52422032417486
ATP6V0B,58.357558259012926
RHOG,58.2853103568586
HCST,58.16930350123888
SH2D1B,58.00182998816361
LYN,57.97756992332964
IFITM1,57.623493503841196
FASLG,57.497847886544186
RBP7,57.43269127735034
NGFRAP1,56.704650905464625
CD72,56.595395087868624
RPSAP58,56.564803158346145
RPL17,56.30575018759877
RPL7A,56.15566007633484
CD8A,56.11030337966074
CXCL16,55.99755811231734
LYAR,55.9862540634469
CTSD,55.930642724342896
KLRG1,55.68431103563243
CCL3,55.6162042845287
KLRF1,55.51321833546271
IRF8,55.34405978403624
NPM1,55.26778564262095
CAMK1,55.09817158804359
RAB32,54.88214098101691
TMEM66,54.87589586604929
SPOCD1,54.70549009244839
PGRMC1,54.35694736415099
MT-CO1,54.19742712441216
C10orf54,54.12740912593664
NOSIP,53.99745054425352
CD63,53.88330039295093
ISG15,53.60081696022986
PKIG,53.262316326667786
AC147651.3,53.18001719508354
PGLS,53.17610121838587
RPS21,52.85925435611101
CTSZ,52.854087512257344
TBXAS1,52.77492791965531
EVL,52.59921085428988
VCAN,52.465581137914974
RPL26,52.45587354786188
LINC00936,52.40853832503278
RNASE6,52.35394452868202
EFHD2,51.44353432423117
PNOC,51.151123797244324
RPL7,51.09977776593218
SAMD14,50.916933877087146
CD300LF,50.602411732705725
GNG7,50.57358637392377
CARD16,50.4672857305975
ESAM,50.424711761856585
RUFY1,50.36082608940358
BST1,50.21142742190643
BLNK,50.056646223300326
TGFB1I1,49.90947400888518
RPL36A,49.692841366266265
GAS2L1,49.41923946563146
CD300E,49.315509713387414
RPL27,48.466502751479275
ANKRD9,48.38811444663772
S100A12,48.26576037624862
BLK,48.18252102537707
KIAA0125,48.0629418853259
RPL37A,47.97129619613195
RPS11,47.90109309637297
PRKAR2B,47.699995490967495
AQP3,47.695130874235744
GLTSCR2,47.557143128269914
CASP1,47.524216321965646
EEF1B2,47.491537615213446
TPST2,47.23963815557334
GATA2,47.223012824330965
NPPA-AS1,47.13443116636902
SPIB,47.01304795201858
TESC,46.986697735534726
BTG1,46.89815275816129
MT2A,46.82132069776233
HLA-DOB,46.743230719667245
CD99,46.41528695769136
GPBAR1,46.22762007704337
RHOB,46.21632871371659
TPPP3,46.183717950802034
TMEM176B,46.17285886846899
GNB2L1,46.1182183784904
NINJ1,45.926367161147425
EAF2,45.78150001322308
LY6E,45.2904984691283
P2RX1,44.80222044210796
CD8B,44.596697891727295
AC137932.6,44.54265270674274
IGLL5,44.51057500006074
RPL37,44.42370356599412
NCF1,44.3371777191098
XCL1,44.33583352956452
CTD-2006K23.1,44.32085695161932
PLEK,44.271836093996065
ID2,43.95720770494368
IL2RB,43.92925017356657
C1orf21,43.87241503272211
SERF2,43.147144329028315
CD40,43.14485227418631
IL8,43.115726894995895
MAP3K7CL,43.10280582072878
ATP9A,43.03285387414516
CYBB,42.48496632079715
HSBP1,42.35796114158516
TPM4,42.28106101267016
ARPC2,42.26297407721389
IFNGR2,42.22399127542447
CD27,42.161948752441525
SMIM14,42.12125654600732
TPI1,41.82480632547418
AGTRAP,41.77783080215763
FCRL6,41.74637527858236
MYO1F,41.634274117689415
HAVCR2,41.60216013443851
VSTM1,41.53159842281563
ARHGEF40,41.53135421997761
RGS10,41.50769903703758
PLEKHF1,41.18529269078227
MSRB1,41.118643634478126
TRAT1,41.11475722263698
ARRB2,41.005707664298754
JUNB,40.87759262738085
RPS9,40.85447669183812
PRKCQ-AS1,40.82803523723862
APOBEC3G,40.725013544707856
DDX5,40.622416665278614
IL1B,40.55496480665957
EMP3,40.546104977613126
