California LaborMarketInfo,7/8/2026,,,,
,,,,,
income in Calaveras County,,,,,
,,,,,
Area,Year,Period,Income Type,Income,Population
San Diego County,2023,Annual,Total Personal Income - BEA,"$258,725,373",3289885
San Diego County,2023,Annual,Per Capita Personal Income - BEA,"$79,122",3289885
San Francisco County,2023,Annual,Total Personal Income - BEA,"$133,327,237",838251
San Francisco County,2023,Annual,Per Capita Personal Income - BEA,"$164,807",838251
San Joaquin County,2023,Annual,Total Personal Income - BEA,"$47,545,901",792088
San Joaquin County,2023,Annual,Per Capita Personal Income - BEA,"$59,361",792088
San Luis Obispo County,2023,Annual,Total Personal Income - BEA,"$20,481,086",278976
San Luis Obispo County,2023,Annual,Per Capita Personal Income - BEA,"$72,721",278976
San Mateo County,2023,Annual,Total Personal Income - BEA,"$125,533,945",740929
San Mateo County,2023,Annual,Per Capita Personal Income - BEA,"$172,828",740929
Santa Barbara County,2023,Annual,Total Personal Income - BEA,"$36,507,933",442152
Santa Barbara County,2023,Annual,Per Capita Personal Income - BEA,"$82,736",442152
Santa Clara County,2023,Annual,Total Personal Income - BEA,"$283,522,548",1900834
Santa Clara County,2023,Annual,Per Capita Personal Income - BEA,"$151,003",1900834
Santa Cruz County,2023,Annual,Total Personal Income - BEA,"$23,168,187",263775
Santa Cruz County,2023,Annual,Per Capita Personal Income - BEA,"$88,581",263775
Shasta County,2023,Annual,Total Personal Income - BEA,"$10,395,699",179348
Shasta County,2023,Annual,Per Capita Personal Income - BEA,"$57,637",179348
Sierra County,2023,Annual,Total Personal Income - BEA,"$170,404",3162
Sierra County,2023,Annual,Per Capita Personal Income - BEA,"$53,251",3162
Siskiyou County,2023,Annual,Total Personal Income - BEA,"$2,362,011",43099
Siskiyou County,2023,Annual,Per Capita Personal Income - BEA,"$55,052",43099
Solano County,2023,Annual,Total Personal Income - BEA,"$28,981,036",446763
Solano County,2023,Annual,Per Capita Personal Income - BEA,"$64,514",446763
Sonoma County,2023,Annual,Total Personal Income - BEA,"$40,187,189",479292
Sonoma County,2023,Annual,Per Capita Personal Income - BEA,"$83,408",479292
Stanislaus County,2023,Annual,Total Personal Income - BEA,"$29,258,030",548838
Stanislaus County,2023,Annual,Per Capita Personal Income - BEA,"$53,058",548838
Sutter County,2023,Annual,Total Personal Income - BEA,"$5,279,411",99824
Sutter County,2023,Annual,Per Capita Personal Income - BEA,"$53,900",99824
Tehama County,2023,Annual,Total Personal Income - BEA,"$3,197,093",64786
Tehama County,2023,Annual,Per Capita Personal Income - BEA,"$49,265",64786
Trinity County,2023,Annual,Total Personal Income - BEA,"$599,266",15871
Trinity County,2023,Annual,Per Capita Personal Income - BEA,"$38,243",15871
Tulare County,2023,Annual,Total Personal Income - BEA,"$23,135,829",478192
Tulare County,2023,Annual,Per Capita Personal Income - BEA,"$48,253",478192
Tuolumne County,2023,Annual,Total Personal Income - BEA,"$3,048,381",53195
Tuolumne County,2023,Annual,Per Capita Personal Income - BEA,"$56,239",53195
Ventura County,2023,Annual,Total Personal Income - BEA,"$64,783,900",826745
Ventura County,2023,Annual,Per Capita Personal Income - BEA,"$78,091",826745
Yolo County,2023,Annual,Total Personal Income - BEA,"$14,947,986",221202
Yolo County,2023,Annual,Per Capita Personal Income - BEA,"$67,778",221202
Yuba County,2023,Annual,Total Personal Income - BEA,"$4,336,377",83405
Yuba County,2023,Annual,Per Capita Personal Income - BEA,"$50,587",83405
