cluster,cell_type,representative_rank,gene,avg_log2FC,adjusted_p_value,pct_in,pct_out,specificity_delta,capped_neg_log10_adjusted_p_value,marker_score,selection_tier
0,Cytotoxic CD8 T cells,1,NKG7,5.149965,2.5243306061684385e-104,0.9597069597069596,0.2224101479915433,0.7372968117154164,20.0,75.94105549891968,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,2,CCL5,5.365429,2.4475792244105465e-111,0.945054945054945,0.2439746300211416,0.7010803150338034,20.0,75.23193307223009,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,3,GZMA,4.028471,5.997373115106311e-68,0.7875457875457875,0.1293868921775898,0.6581588953681977,20.0,53.02748046765637,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,4,CST7,4.0548916,1.8017745973690625e-67,0.7765567765567766,0.1293868921775898,0.6471698843791868,20.0,52.48407455884272,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,5,GZMK,4.834554,1.2092011545391433e-45,0.5860805860805861,0.0583509513742071,0.527729634706379,20.0,51.02674832776526,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,6,CTSW,3.3651931,5.045759872565942e-66,0.8205128205128205,0.2393234672304439,0.5811893532823766,20.0,39.11628802918632,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,7,CD8A,3.730852,6.730723957209699e-31,0.5091575091575091,0.0727272727272727,0.43643023643023643,20.0,32.56513240892441,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,8,LYAR,3.0814345,1.3663613117313813e-35,0.5897435897435898,0.135306553911205,0.45443703583238476,20.0,28.00635920583293,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,9,GZMH,3.8941712,2.653516889996131e-20,0.4175824175824176,0.0634249471458773,0.3541574704365403,19.576178143682316,26.998482595229365,primary: pct_in >= 0.20
0,Cytotoxic CD8 T cells,10,KLRG1,3.3307934,1.1033930084553097e-22,0.4505494505494505,0.0761099365750528,0.3744395139743977,20.0,24.94361323690263,primary: pct_in >= 0.20
1,B cells,1,CD79A,7.7044845,1.2230912158469628e-164,0.9252873563218392,0.0414847161572052,0.8838026401646341,20.0,136.18487484415002,primary: pct_in >= 0.20
1,B cells,2,MS4A1,6.358171,2.3588912099907057e-133,0.8419540229885057,0.0532751091703056,0.7886789138182001,20.0,100.29110796300758,primary: pct_in >= 0.20
1,B cells,3,CD79B,5.473424,1.8347365153257234e-149,0.9051724137931034,0.1419213973799126,0.7632510164131908,20.0,83.55192862520704,primary: pct_in >= 0.20
1,B cells,4,TCL1A,6.973357,9.948570998135712e-72,0.617816091954023,0.0213973799126637,0.5964187120413593,20.0,83.18081201089194,primary: pct_in >= 0.20
1,B cells,5,HLA-DQA1,5.323151,1.8413069908330876e-136,0.8850574712643678,0.1170305676855895,0.7680269035787783,20.0,81.76646359624556,primary: pct_in >= 0.20
1,B cells,6,LINC00926,7.3965635,1.5812891819418414e-58,0.5545977011494253,0.0096069868995633,0.544990714249862,20.0,80.62116849718919,primary: pct_in >= 0.20
1,B cells,7,VPREB3,7.4475465,2.5601278014446017e-44,0.4827586206896552,0.0065502183406113,0.4762084023490439,20.0,70.93168440370427,primary: pct_in >= 0.20
1,B cells,8,HLA-DQB1,4.9287853,2.6923855850789817e-125,0.8563218390804598,0.1471615720524017,0.7091602670280581,20.0,69.90597398943936,primary: pct_in >= 0.20
1,B cells,9,HLA-DRA,4.8644876,2.495813114431776e-164,1.0,0.4934497816593886,0.5065502183406114,20.0,49.28214511790394,primary: pct_in >= 0.20
1,B cells,10,FCER2,6.4800057,2.3268772137525455e-26,0.3764367816091954,0.0087336244541484,0.36770315715504703,20.0,47.65437108545402,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,1,IL32,2.5212312,7.213826337376813e-91,0.9335548172757476,0.4395874263261297,0.49396739094961795,20.0,24.908119956895483,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,2,IL7R,2.4253447,1.521021870493912e-74,0.7641196013289037,0.2956777996070727,0.468441801721831,20.0,22.722656821289874,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,3,CD3D,2.2394993,1.6476302226446915e-73,0.9069767441860463,0.4056974459724951,0.5012792982135512,20.0,22.452292749074783,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,4,LTB,2.4414456,3.1793004881151947e-104,0.9800664451827242,0.6222986247544204,0.3577678204283038,20.0,17.46941342012545,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,5,CD3E,1.9740841,8.421711015275064e-60,0.8239202657807309,0.3855599214145383,0.43836034436619253,20.0,17.307203717676504,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,6,CD2,2.0757544,5.706686469241388e-45,0.6245847176079734,0.2278978388998035,0.3966868787081699,20.0,16.468490678015,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,7,AQP3,2.5294793,2.4321657318583008e-28,0.4069767441860465,0.0962671905697446,0.3107095536163019,20.0,15.71866768369352,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,8,LDHB,1.9900601,6.116034880480973e-93,0.9584717607973422,0.5913555992141454,0.3671161615831968,20.0,14.611664504637456,primary: pct_in >= 0.20
2,IL7R+ memory/helper T cells,9,TRAT1,2.327359,3.0420767192204325e-26,0.4086378737541528,0.1036345776031434,0.3050032961510094,20.0,14.197043326534342,primary: pct_in >= 0.20
