group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,RP11-1143G9.4,20.2282,4.9243064,5.528368400030546e-91,9.044963539289975e-87,0.9787234042553191,0.2564037534871925
0,S100A8,20.157127,5.362037,2.3302269843576747e-90,1.9062421845537956e-86,1.0,0.5830585848338828
0,LYZ,19.412848,5.131172,6.010240562922009e-84,3.2777848616655663e-80,0.9946808510638298,0.6084199847831601
0,FTL,19.28519,2.7132497,7.152517998039212e-83,2.9255586741479886e-79,1.0,0.9951813340096374
0,S100A9,19.194244,4.919293,4.134462115739904e-82,1.3528786935124115e-78,0.9893617021276596,0.6634542226730915
0,FTH1,18.454472,1.9625252,4.800387725110152e-76,9.817392946315899e-73,1.0,0.9908698960182603
0,S100A6,18.297617,2.5474076,8.644970318482204e-75,1.5715595486743038e-71,0.9946808510638298,0.8884098402231804
0,CTSS,18.208015,3.4247608,4.458134288397326e-74,7.293953509246866e-71,0.9893617021276596,0.6015724067968552
0,TYROBP,18.05357,3.9432013,7.395209466720912e-73,1.0082751840418403e-69,0.9840425531914894,0.4537154450925691
0,S100A12,18.027124,4.398527,1.1933718160048936e-72,1.5019043293581589e-69,0.9148936170212766,0.21709358356581282
1,LYZ,39.789345,6.0574393,0.0,0.0,1.0,0.5450530035335689
1,CST3,39.12928,4.8204017,0.0,0.0,1.0,0.4363957597173145
1,S100A9,38.786556,5.461245,0.0,0.0,0.9904761904761905,0.610718492343934
1,FCN1,38.463722,5.128029,0.0,0.0,0.9700680272108844,0.17255594817432274
1,GPX1,38.263054,3.6205065,0.0,0.0,0.9918367346938776,0.46849234393404005
1,S100A8,38.135124,5.483702,0.0,0.0,0.9931972789115646,0.5173733804475854
1,S100A6,38.083855,2.8957412,0.0,0.0,1.0,0.8701413427561837
1,TYROBP,38.04352,4.8223915,0.0,0.0,0.9959183673469387,0.3657243816254417
1,CSTA,37.981506,5.0918646,0.0,0.0,0.9687074829931973,0.11749116607773852
1,RP11-1143G9.4,37.745007,5.16501,0.0,0.0,0.9755102040816327,0.14075382803297998
2,IL32,22.298944,2.5558827,3.783253597019396e-110,6.189781210083433e-106,0.9795454545454545,0.5665131400704416
2,LTB,21.728739,2.0996366,1.0977569108908816e-104,8.980200409542856e-101,0.9977272727272727,0.7515578434028719
2,IL7R,20.184208,2.4916117,1.3476809737873811e-90,7.349802804045114e-87,0.8363636363636363,0.3470604172311027
2,TRAC,19.56918,2.1481721,2.832057988467368e-85,1.1583825187328653e-81,0.9818181818181818,0.5602817664589542
2,LDHB,18.241077,1.6361139,2.4361268311185137e-74,7.971494216786e-71,0.9840909090909091,0.6710918450284475
2,B2M,16.8225,0.42476082,1.6696266252716655e-63,4.55279353601162e-60,1.0,1.0
2,ITGB1,16.572601,2.620651,1.0996323650673492e-61,2.5701550178381284e-58,0.6409090909090909,0.20482254131671634
2,CD2,15.708097,1.8850694,1.3311505042804243e-55,2.7223691750665025e-52,0.7727272727272727,0.33568138715795176
2,CD3D,15.266362,1.6798997,1.2812497313660989e-52,2.329169650542305e-49,0.95,0.5296667569764292
2,HSPA8,14.881207,1.2367626,4.365515087223715e-50,6.493108394733381e-47,0.9590909090909091,0.7174207531834191
3,RPL32,37.009758,0.69637513,7.978739751733063e-300,1.3054016107810464e-295,1.0,0.99967277486911
3,RPS6,36.525772,0.8495828,4.324243829143996e-292,3.5374476644312456e-288,1.0,0.9993455497382199
3,RPL21,36.475197,0.6401977,2.7429643175177516e-291,1.4959213066302643e-287,1.0,0.9993455497382199
3,RPL31,36.256546,0.9309974,7.836193999676679e-288,3.2051992507177535e-284,0.9990697674418605,0.9960732984293194
3,RPS14,36.0673,0.6620992,7.387153575546843e-285,2.417224392990438e-281,1.0,1.0
3,RPL34,35.175106,0.64717424,4.804672758293349e-271,1.3101541833072914e-267,1.0,0.9993455497382199
3,RPS3A,34.795216,0.6295013,2.8732684507460584e-265,6.715649303236608e-262,1.0,1.0
3,RPS15A,34.347652,0.65007085,1.5267155653091027e-258,3.1223241705027784e-255,1.0,0.99967277486911
3,RPL35A,34.12108,0.6970549,3.5917539659092833e-255,6.529409626249087e-252,1.0,0.9983638743455497
3,RPS25,33.762074,0.8235284,7.109413973568077e-250,1.163171220215473e-246,1.0,0.9964005235602095
4,CCL5,35.80868,5.89085,8.091159629409323e-281,1.3237946269676593e-276,0.9710884353741497,0.21789443974033304
4,IL32,32.025784,3.1749508,4.773091807877581e-225,3.904627753434255e-221,0.9880952380952381,0.5478408128704487
4,HLA-B,31.669945,1.0182965,4.030494734170848e-220,2.1980974781923082e-216,1.0,0.999435506632797
