missing_model_gene
AL627309.1
RP11-206L10.2
RP11-54O7.11
GLTPD1
RP4-758J18.2
AL645728.1
C1orf86
AL590822.2
C1orf200
RP11-558F24.4
RP11-169K16.9
RP4-798A10.4
CROCCP2
MINOS1-NBL1
RP5-930J4.4
RP3-329E20.2
ALPL
C1QC
RP5-1057J7.6
C1orf213
RP5-886K2.3
C1orf63
AL020996.1
C1orf172
TRNP1
AL353354.2
TMEM200B
MATN1
ADC
KIAA0754
SLFNL1
LEPRE1
CCDC23
RP11-342M1.3
WDR65
RP11-511I2.2
NRD1
ORC1
SLC1A7
RP4-784A16.5
C1orf177
CYP2J2
DLEU2L
RP5-1007M22.2
HIAT1
AC093157.1
LAMTOR5-AS1
RP11-389O22.1
RP5-1073O3.7
AL136376.1
RP11-343N15.5
RP11-423O2.5
RP11-782C8.1
RP6-206I17.1
RP6-206I17.2
AL592284.1
RP11-640M9.1
AL590452.1
RP11-458D21.6
RP11-666A1.5
RP11-403I13.4
RP11-403I13.8
RP11-277L2.3
RP11-353N4.4
C1orf51
RP11-98D18.3
C1orf85
RP11-267N12.3
RP11-318C24.2
RP5-1180C10.2
RP11-46A10.5
RP11-309G3.3
RPS10P7
RP11-134P9.3
RAB7L1
PM20D1
FAIM3
C4BPB
RP11-61J19.4
RP11-378J18.3
CAPN8
RP11-504P24.8
RP11-504P24.6
C1orf145
ERO1LB
LGALS8-AS1
GREM2
RP11-261C10.3
TPO
C2orf43
SF3B14
AC013449.1
GAREML
OTOF
CENPA
RP11-490M8.1
CEBPZ-AS1
LINC01119
GPR75-ASB3
CCDC104
SMEK2
CNRIP1
RP11-427H3.3
PCBP1-AS1
C2ORF15
AC092667.2
MIR4435-1HG
CKAP2L
RP5-935K16.1
C2orf27A
AC093391.2
MLTK
AC010894.5
AC008174.3
AC097500.2
TMEM194B
RP11-469M7.1
AC007879.7
RP11-566E18.3
C2orf62
AC016757.3
AC104809.3
MTERFD2
AC131097.3
AC026202.1
SETD5-AS1
RP11-58B17.2
ZFYVE20
RP11-391M1.4
ATRIP
TREX1
XXcos-LUCA11.4
DOCK3
TLR9
RP11-755B10.4
RP11-359I18.5
FAM3D
CRYBG3-1
RP11-861A13.4
KIAA2018
KIAA1407
RP11-190C22.8
PTPLB
RP11-666A20.4
TXNRD3
RP11-85F14.5
ACPL2
RP11-271K21.11
RP11-485G4.2
RP11-80H8.4
RP11-103G8.2
P2RY12
RP11-6F2.5
RP11-362K14.6
PP13439
RP11-145M9.4
EPHB3
AC022498.1
HRASLS
UBXN7-AS1
KIAA0226
EVC
GPR125
RP11-36B15.1
RP11-617D20.1
AC021860.1
NSUN7
UGT2B17
IGJ
IL8
CXCL9
FAM47E
FAM47E-STBD1-1
AGPAT9
RP11-1299A16.3
AP001816.1
C4orf29
RP11-425I13.3
PRMT10
PET112
MIR4453
RP11-701P16.5
KIAA1430
AC110771.1
CTD-2083E4.6
C5orf55
CTD-2228K2.5
CTD-2012J19.3
KIAA0947
CTD-2256P15.4
RP11-215G15.5
FAM105B
CTD-2023M8.1
AC008964.1
SEPP1
PPAP2A
CTD-2031P19.3
DEPDC1B
MAP1B
CTD-2037K23.2
CTD-2201I18.1
ANKRD34B
CTC-459I6.1
ANKRD32
C5orf27
CTC-428G20.3
CTB-118N6.3
RP11-517I3.1
CTC-228N24.3
SCGB3A2
C5orf54
MIR146A
CTB-178M22.2
CTB-114C7.4
RANBP17
CTC-338M12.6
CTC-338M12.4
AC008443.1
TRIM52-AS1
RP11-420G6.4
RP1-90J20.12
RP3-380B8.4
RP11-421M1.8
AL441883.1
C6orf229
HIST1H3D
HIST1H4K
ZFP57
TRIM31
PPT2-EGFL8
HLA-DQB2
TAP2-1
TAPSAR1
RP11-513I15.6
COX6A1P2
MOCS1
C6orf57
OOEP
KIAA1009
RP1-3J17.3
RP1-102H19.8
GPR63
CTAGE9
GPR126
RP1-20N2.6
C6orf211
RP11-52J3.3
RP11-732M18.3
RP11-288H12.4
RP5-894D12.3
AC147651.3
HEATR2
FLJ20306
RP11-611L7.1
RPA3-AS1
AC004540.4
HOXA9
AC007285.6
GS1-114I9.1
FKBP9
PSMA2-1
MRPS17-1
NUPR1L
TRIM74
SRCRB4D
RSBN1L-AS1
MTERF
CCDC132
ACN9
RP4-607J23.2
RABL5
MIR29A
AC015987.2
C7orf55-LUC7L2
RP4-813F11.4
CLCN1
FAM115C
FAM115A
C7orf13
RP11-309M23.1
ARSE
HDHD1
RP13-314C10.5
RP11-265P11.2
MED14-AS1
RP6-99M1.2
CXorf24
AC115618.1
WNK3
PAGE5
KCNE1L
GNG5P2
PLS3
RP1-241P17.4
MST4
FAM127C
CTD-2541M15.1
RP11-481A20.11
TMEM66
GPR124
PPAPDC1B
AGPAT6
AC090186.1
RP11-446E9.2
RP11-163N6.2
RP11-159H10.3
AC120194.1
RP11-382J12.1
RP11-383H13.1
RP11-531A24.5
Y_RNA
RP11-317J10.2
GS1-251I9.4
RBM12B-AS1
MIR378D2
CCNE2
MTERFD1
KB-431C1.4
KB-1507C5.2
ZHX1-C8ORF76
RP11-383J24.6
RP11-89K10.1
CASC7
ARC
C8orf31
RP13-582O9.5
NAPRT1
RP11-661A12.14
RP11-661A12.12
GS1-393G12.13
GS1-393G12.14
KIAA0020
