group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
6,CUEDC2,-1.1218379,-0.2773108,0.2619313948240308,0.9999851468215875,0.11148648648648649,0.14410850522746538
6,NFKB1,-1.1224893,-0.51927763,0.2616544173017078,0.9999851468215875,0.0625,0.09239898276349251
6,THOC3,-1.1228244,-0.34764722,0.2615120505699867,0.9999851468215875,0.09121621621621621,0.12235094659508336
6,RIN1,-1.1229547,-3.8855212,0.26145670019294187,0.9999851468215875,0.0016891891891891893,0.030517095224639728
6,OAF,-1.1238855,-2.7244864,0.26106157587281753,0.9999851468215875,0.005067567567567568,0.033907883582933035
6,CRELD2,-1.1239042,-0.3499342,0.26105367760055653,0.9999851468215875,0.10472972972972973,0.13563153433173214
6,RP13-977J11.2,-1.1244254,-3.2528698,0.2608325930652975,0.9999851468215875,0.0033783783783783786,0.03221248940378638
6,NCALD,-1.124593,-2.802146,0.2607615576901513,0.9999851468215875,0.005067567567567568,0.033907883582933035
6,RBMX2,-1.1251514,-0.3879646,0.2605248697578053,0.9999851468215875,0.07939189189189189,0.11020062164453236
6,PDIA6,-1.1266035,-0.16783948,0.2599101769048694,0.9999851468215875,0.27364864864864863,0.3159084487143261
6,MSL2,-1.1269013,-0.51460785,0.2597842102617891,0.9999851468215875,0.057432432432432436,0.08731280022605256
6,SOS2,-1.1269572,-0.8627179,0.25976059622252834,0.9999851468215875,0.030405405405405407,0.05990392766318169
6,CFDP1,-1.1271061,-0.24828255,0.2596976327167675,0.9999851468215875,0.14020270270270271,0.17406046905905623
6,TCP1,-1.1275529,-0.20503598,0.25950880560506273,0.9999851468215875,0.17398648648648649,0.21051144391070925
6,ABTB1,-1.1289676,-0.2485737,0.2589114804344351,0.9999851468215875,0.14695945945945946,0.18027691438259397
6,LYRM4,-1.1300287,-0.25006083,0.25846411219021426,0.9999851468215875,0.16891891891891891,0.2000565131393049
6,XPC,-1.1307175,-0.4789743,0.2581740022132666,0.9999851468215875,0.07939189189189189,0.10878779316191015
6,CHCHD2,-1.1315925,-0.113462284,0.25780580979545953,0.9999851468215875,0.7533783783783784,0.7866628991240463
6,BZRAP1-AS1,-1.1320951,-0.85428154,0.2575944597844235,0.9999851468215875,0.03547297297297297,0.0647075445040972
