gene,mean_log_normalized_expression,fraction_of_cells_expressing
SEC61G,0.9007263,0.5862317102422643
RP11-347P5.1,0.89788824,0.5552890381386424
FKBP1A,0.895437,0.556008635164308
EIF4G2,0.89268136,0.5823938594387144
HIGD2A,0.8919008,0.580954665387383
C6orf48,0.8900826,0.5605660829935236
MZT2B,0.88715047,0.5807147997121612
AIF1,0.88712853,0.39889661789397934
SOD1,0.8850825,0.5814343967378268
GSTK1,0.87756324,0.5646437994722955
SLC25A3,0.87523955,0.5739985608059487
TPI1,0.8736949,0.5564883665147518
N4BP2L2,0.871776,0.5704005756776205
VAMP8,0.8712992,0.556008635164308
DAZAP2,0.8674527,0.5648836651475174
UBXN1,0.867374,0.5787958743103861
NFKBIA,0.86428267,0.47925161909330777
C11orf31,0.86179155,0.5730390981050612
MCL1,0.8612638,0.5339409930438954
LY6E,0.8584942,0.5461741424802111
PPP1R15A,0.856125,0.5418565603262173
PPP1CA,0.8530403,0.5608059486687456
CUTA,0.85235703,0.5682417846006237
SLC25A5,0.85030603,0.5504917246342048
CD7,0.8499838,0.47205564883665146
TMEM123,0.8498375,0.5512113216598705
SEC61B,0.8450877,0.5452146797793236
PRELID1,0.8450254,0.5298632765651236
UQCR10,0.8406748,0.5596066202926361
C19orf53,0.83806676,0.5536099784120893
NDUFA11,0.8370249,0.559846485967858
NPC2,0.83537424,0.46941712640921085
CCNL1,0.83498293,0.5413768289757735
RSL24D1,0.8344708,0.5572079635404174
ACAP1,0.8338945,0.5243463660350204
ICAM3,0.8328859,0.5492923962580955
LCK,0.8323821,0.4994003358119453
SH3BGRL,0.83196867,0.5365795154713361
COX8A,0.83189327,0.5495322619333174
NKG7,0.83068347,0.35356200527704484
ACTR3,0.83061963,0.5528903813864237
CCL5,0.82900035,0.3276565123530823
NDUFS5,0.82854176,0.5533701127368673
NDUFA13,0.82729936,0.552170784360758
COX7A2L,0.82656354,0.5572079635404174
SAP18,0.82586056,0.5622451427200768
GUK1,0.82323885,0.550011993283761
ARL6IP5,0.82234335,0.5413768289757735
TUBA1A,0.8221878,0.5205085152314703
FAM65B,0.8220327,0.534660590069561
PKM,0.8218312,0.5372991124970017
ATP5J2,0.8191673,0.5485727992324299
NDUFB11,0.8177231,0.5492923962580955
SRSF2,0.81682706,0.5473734708563205
PGK1,0.8161148,0.5408970976253298
CD99,0.8142279,0.5065963060686016
SPCS1,0.814183,0.5456944111297674
TBCA,0.81238455,0.5389781722235548
UQCRQ,0.8111219,0.5411369633005517
PARK7,0.80760646,0.5423362916766611
RAC1,0.8063101,0.503957783641161
EIF3D,0.80604464,0.5389781722235548
NDUFB2,0.8045157,0.5344207243943392
TRA2B,0.8021973,0.5296234108899016
SEPT9,0.79931635,0.529143679539458
SET,0.79802996,0.5260254257615735
CMPK1,0.7965023,0.5272247541376829
SF1,0.79626775,0.528903813864236
ST13,0.79570615,0.5313024706164547
HNRNPA3,0.79381144,0.5310626049412329
CSDE1,0.7936038,0.5372991124970017
PPIB,0.7933788,0.5260254257615735
EIF5A,0.79157794,0.525065963060686
STK17B,0.78869337,0.5238666346845766
UBE2D2,0.7885698,0.530822739266011
NOSIP,0.78636926,0.4816502758455265
GTF3A,0.78418565,0.526984888462461
HNRNPU,0.77805644,0.5214679779323579
EIF3M,0.7780563,0.529143679539458
IL2RG,0.7772025,0.5051571120172703
ARF1,0.7735222,0.525065963060686
RSL1D1,0.77132416,0.5224274406332454
ATP5A1,0.76985455,0.526984888462461
SERBP1,0.76675224,0.5219477092828017
PSMB9,0.7667,0.5137922763252578
PTGES3,0.7655212,0.5195490525305829
CSTB,0.7643155,0.4998800671623891
TRMT112,0.76222557,0.5233869033341328
RBMX,0.7618525,0.5101942911969297
ANP32B,0.76080984,0.517390261453586
RAN,0.7564004,0.5164307987526985
ACTR2,0.75374097,0.5003597985128329
ATP5G3,0.75203,0.5109138882225953
TRAPPC1,0.74966943,0.5092348284960422
JTB,0.74938804,0.5152314703765891
ARPC4,0.74828506,0.5003597985128329
TMEM59,0.747513,0.513552410650036
EID1,0.7462228,0.5056368433677141
PSME2,0.745627,0.49316382825617655
C12orf57,0.7447964,0.49412329095706403
H2AFZ,0.74020636,0.49628208203406093
C1orf162,0.73990357,0.4605420964260014
SEC62,0.7385952,0.49508275365795157
ID2,0.73762107,0.4322379467498201
MINOS1,0.7332166,0.49892060446150155
C11orf58,0.7329536,0.5053969776924923
HMHA1,0.7326274,0.4926840969057328
TKT,0.73225206,0.44543055888702326
LRRFIP1,0.7317659,0.48548812664907653
COPE,0.7276923,0.4984408731110578
ABRACL,0.7265986,0.4893259774526265
C9orf16,0.7250322,0.4965219477092828
IL7R,0.7238045,0.4005756776205325
ZFP36L1,0.72245926,0.449748141041017
FKBP8,0.7223104,0.5029983209402734
LITAF,0.72156876,0.48045094746941713
PDIA3,0.72122425,0.48716718637562967
FCN1,0.7200065,0.31686255696809784
GIMAP7,0.71904284,0.45070760374190455
RPS27L,0.7188208,0.4936435596066203
AP1S2,0.7176094,0.4017750059966419
NDUFB8,0.71653503,0.4924442312305109
SLC2A3,0.71572274,0.4547853202206764
SEP15,0.71406823,0.4998800671623891
LDHA,0.70730406,0.4797313504437515
ANXA6,0.70666975,0.4679779323578796
ATP5B,0.70472455,0.47757255936675463
GDI2,0.7039174,0.48524826097385465
NDUFB9,0.703836,0.48788678340129527
JUND,0.703223,0.44878867834012953
MBNL1,0.70215154,0.47805229071719835
SF3B5,0.7013899,0.48596785799952025
RARRES3,0.70036626,0.4579035739985608
PTP4A2,0.6999507,0.4706164547853202
SUN2,0.69949156,0.4619812904773327
C10orf54,0.69870096,0.4631806188534421
CLEC2D,0.6985092,0.4449508275365795
GYPC,0.6983231,0.4579035739985608
TUBA1B,0.6977661,0.46437994722955145
TYMP,0.69682276,0.3573998560805949
RP11-1143G9.4,0.69651014,0.2916766610698009
TRBC1,0.6963382,0.3492444231230511
ISCU,0.69529134,0.48524826097385465
HLA-DQA1,0.69259053,0.3626769009354761
STK4,0.6925249,0.4734948428879827
SRRM1,0.69217503,0.47829215639242023
RNASET2,0.6918298,0.4499880067162389
PSMB1,0.68754643,0.4835692012473015
JAK1,0.68741256,0.46126169345166707
DBI,0.6870558,0.47133605181098587
BIN2,0.6839526,0.45358599184456705
DRAP1,0.68372357,0.46941712640921085
YPEL5,0.6836198,0.4655792756056608
POLR1D,0.68094414,0.473015111537539
RBX1,0.67592126,0.4648596785799952
DYNLL1,0.674734,0.44279203645958265
RGS2,0.67281646,0.3756296473974574
ATPIF1,0.66941476,0.4648596785799952
C14orf166,0.66881406,0.473015111537539
ATP5J,0.66876376,0.4763732309906452
CCND3,0.6680366,0.4480690813144639
HNRNPH1,0.6678711,0.42768049892060445
ANXA2,0.6677503,0.4101703046294075
SNU13,0.667373,0.46414008155432956
TAPBP,0.66664106,0.4607819621012233
TBC1D10C,0.6659744,0.45118733509234826
CALR,0.6653615,0.4468697529383545
PAIP2,0.6649454,0.46437994722955145
FBL,0.66273975,0.45886303669944833
LSM7,0.66256654,0.46725833533221395
HCLS1,0.66248125,0.4605420964260014
AP2S1,0.66215545,0.44087311105780763
CRIP1,0.66211337,0.42000479731350443
IFITM1,0.66069067,0.4096905732789638
ANXA11,0.65965223,0.4627008875029983
HNRNPM,0.65942365,0.4531062604941233
PEBP1,0.6593349,0.45862317102422645
HNRNPF,0.658254,0.4598224994003358
DAD1,0.6568516,0.46222115615255455
SYF2,0.655721,0.45670424562245143
BLOC1S1,0.6556621,0.44878867834012953
IGKC,0.6549621,0.2616934516670664
POLR2J3,0.6538614,0.44830894698968576
GIMAP4,0.65365493,0.43007915567282323
PSMB3,0.651243,0.4523866634684577
GABARAPL2,0.64874846,0.46126169345166707
SRP9,0.6472771,0.4550251858958983
TUBB,0.6465311,0.45046773806668267
ARGLU1,0.6463602,0.4490285440153514
PSMB8,0.644878,0.45670424562245143
RGS10,0.6447793,0.43991364835692015
NDUFB7,0.64436466,0.45070760374190455
VAPA,0.6442794,0.45046773806668267
CIB1,0.6440741,0.45094746941712643
ATP6V1F,0.64385444,0.4499880067162389
SEC11A,0.64267176,0.43847445430558885
MTDH,0.6420331,0.45142720076757015
MSN,0.6411939,0.43511633485248263
WDR83OS,0.6408108,0.44758934996402017
CALM3,0.6400054,0.44327176781002636
ATP5F1,0.63911307,0.4442312305109139
CYCS,0.6387233,0.4444710961861358
CCT8,0.63691956,0.4499880067162389
POMP,0.6361798,0.4394339170064764
UFC1,0.63611317,0.44758934996402017
LEPROTL1,0.6361095,0.4312784840489326
LBH,0.6347389,0.41184936435596065
ERH,0.63435477,0.4540657231950108
ARHGEF1,0.6342159,0.4370352602542576
CD164,0.63414764,0.442072439433917
NOP10,0.6332492,0.443991364835692
PRDX5,0.63246214,0.44591029023746703
SNRPE,0.63215524,0.44255217078436077
LAMTOR1,0.6321124,0.4389541856560326
MNDA,0.6316437,0.28184216838570403
KRT10,0.6306014,0.44950827536579513
NDUFB10,0.6261521,0.4480690813144639
PYCARD,0.6260765,0.39385943871432
IRF1,0.6247805,0.4094507076037419
SNRPG,0.624695,0.4418325737586951
ANKRD12,0.624648,0.4322379467498201
PSMA2,0.6236597,0.4451906932118014
KMT2E,0.6229648,0.4365555289038139
SUMO1,0.62201524,0.4521467977932358
GNG5,0.6217635,0.4264811705444951
FOXP1,0.62153304,0.4156872151595107
SFPQ,0.62054366,0.43799472295514513
CCDC85B,0.6202442,0.4360757975533701
CTSW,0.61926335,0.32933557207963543
FAM49B,0.618449,0.4315183497241545
STK17A,0.61751324,0.40393379707363875
CD2,0.6172084,0.3840249460302231
HSP90B1,0.6171903,0.4264811705444951
SSU72,0.6167217,0.4413528424082514
CTSD,0.6154581,0.38522427440633245
SNRPB,0.6152837,0.4372751259294795
MYEOV2,0.61319786,0.4365555289038139
H1FX,0.61286086,0.39721755816742627
ARHGDIA,0.61203164,0.434396737826817
ISG20,0.6118533,0.4132885584072919
KRTCAP2,0.60846764,0.43271767810026385
STXBP2,0.60828036,0.3547613336531542
TMEM230,0.6078841,0.434396737826817
SRSF9,0.6054526,0.43271767810026385
HSD17B11,0.6030041,0.4207243943391701
PTPN6,0.6025473,0.4104101703046294
CDC42SE1,0.6016467,0.40609258815063565
HLA-DMA,0.60163784,0.3566802590549292
RAP1B,0.60072005,0.41664667786039816
CEBPB,0.60008734,0.37922763252578556
PPP2R5C,0.5989008,0.40321420004797315
FMNL1,0.59822506,0.4185656032621732
RAP1A,0.59603524,0.4207243943391701
S100A12,0.5960328,0.2516190933077477
PRRC2C,0.5942507,0.41688654353562005
PET100,0.59401256,0.4212041256896138
NCF1,0.59341544,0.3761093787479012
ATP5H,0.5923841,0.42168385704005756
CD27,0.59215957,0.38498440873111056
CBX3,0.5898285,0.41880546893739506
PLP2,0.58963645,0.4027344686975294
PSMA1,0.5882874,0.41904533461261695
CARD16,0.5881371,0.38738306548332935
CSTA,0.5875094,0.2717678100263852
SPCS2,0.587431,0.4202446629887263
CD3G,0.5869252,0.3672343487646918
RTN4,0.5860805,0.4106500359798513
CCDC109B,0.5847751,0.4128088270568482
CDC42SE2,0.5844532,0.40681218517630124
DUSP2,0.5833921,0.34588630366994483
TOMM20,0.583162,0.4243223794674982
GLRX,0.5828465,0.40297433437275126
VPS28,0.5828192,0.4144878867834013
SCAND1,0.5825681,0.41184936435596065
RAB7A,0.5816869,0.4173662748860638
TMBIM4,0.5815603,0.41496761813384503
DDX17,0.5810447,0.4084912449028544
CAST,0.58044446,0.39529863276565125
NCL,0.57990414,0.4084912449028544
PAPOLA,0.57897735,0.4123290957064044
KHDRBS1,0.5789292,0.41592708083473257
FNBP1,0.5753344,0.40897097625329815
CELF2,0.57459575,0.407291916526745
RHOG,0.574192,0.3986567522187575
SRRM2,0.5740264,0.40801151355241067
PGAM1,0.57342386,0.3986567522187575
NDUFB4,0.5729992,0.4183257375869513
H2AFY,0.5723476,0.39050131926121373
EIF2S3,0.57177794,0.4077716478771888
EIF4A1,0.57167155,0.4017750059966419
GRN,0.5698946,0.3336531542336292
ATP6V0B,0.56884396,0.3840249460302231
PPP1R2,0.5685704,0.4065723195010794
LAMTOR5,0.567998,0.4020148716718638
HMGB2,0.5678079,0.3909810506116575
GHITM,0.5677212,0.4104101703046294
SDCBP,0.5671419,0.3840249460302231
NSA2,0.5666537,0.4056128568001919
C1QBP,0.56627387,0.4096905732789638
PCSK7,0.5653403,0.3888222595346606
ATM,0.5645441,0.3926601103382106
WIPF1,0.56358635,0.39769728951787
VASP,0.5633593,0.3907411849364356
RNH1,0.5619669,0.39793715519309186
TALDO1,0.56156635,0.38450467738066685
COX5A,0.5611872,0.4024946030223075
GNAI2,0.56091464,0.39002158791076996
GNAS,0.560267,0.39841688654353563
HSPE1,0.5596383,0.3974574238426481
SERPINB1,0.55961764,0.39242024466298875
MYO1F,0.55869055,0.3650755576876949
ARHGAP30,0.55831784,0.39793715519309186
OSTF1,0.5578135,0.39625809546653873
LAT,0.55764455,0.3701127368673543
SF3B6,0.5570743,0.40417366274886063
TCF7,0.5567094,0.3703526025425762
P4HB,0.55667835,0.39289997601343246
PSMA4,0.5535149,0.3940993043895419
SSBP1,0.5531817,0.3993763492444231
TRAM1,0.5524182,0.39601822979131684
PSMB10,0.55239016,0.39553849844087313
PA2G4,0.5514969,0.3943391700647637
UBE2I,0.5497361,0.4020148716718638
TMED2,0.5492298,0.40081554329575436
RSRP1,0.5492026,0.3895418565603262
NDUFA12,0.5491856,0.3969776924922044
TSTD1,0.545155,0.3787479011753418
CD79B,0.5451488,0.26936915327416644
METTL9,0.54481846,0.3840249460302231
HMGN3,0.5447961,0.3859438714319981
KLRB1,0.5432632,0.2302710482130007
NDUFA2,0.5421597,0.38930199088510437
MRPS21,0.5399747,0.3914607819621012
NDUFS6,0.5398364,0.39337970736387623
SF3B1,0.5392344,0.3847445430558887
LGALS2,0.5389843,0.2573758695130727
PRPF38B,0.5372067,0.38258575197889183
