original_cluster,original_cells,dominant_no_ribo_mt_cluster,cells_in_dominant_destination,cohesion,destination_cluster_cells,exclusivity
3,1075,2,930,0.8651162790697674,940,0.9893617021276596
8,192,8,179,0.9322916666666666,196,0.9132653061224489
