reviewed_cell_type,model_knows_reviewed_class,cells,mean_max_probability,median_max_probability,low_confidence_percent
Activated/transitional T cells,True,1075,0.879378150756969,0.9402366280555725,0.9302325581395349
B cells,True,592,0.9960989284555655,0.9990549683570862,0.0
CD16+ non-classical monocytes,True,106,0.9533241821347542,0.9968737661838531,0.9433962264150944
Classical monocytes,True,923,0.9898179845716946,0.9988036155700684,0.3250270855904659
Cytotoxic CD8 T cells,True,588,0.9020353901852556,0.96522256731987,2.380952380952381
Dendritic cells,False,34,0.9439977898317224,0.9615129828453064,0.0
IL7R+ memory/helper T cells,True,440,0.9502341502769427,0.9880569577217102,0.45454545454545453
NK cells,True,181,0.8897053324385901,0.9696322679519653,4.972375690607735
Naive/resting T cells,True,192,0.8933818714382747,0.9685672521591187,1.5625
