resolution,clusters,silhouette,random_seed_stability_ari,agreement_with_resolution_0_5_ari,smallest_cluster_cells,smallest_cluster_percent,max_qc_eta_squared
0.2,8,0.3610658049583435,0.8627755423058822,0.8690878165355016,33,0.7915567282321899,0.5126522839478378
0.3,8,0.33285996317863464,0.9752713410959304,0.9261975597854583,33,0.7915567282321899,0.5160674975040574
0.4,10,0.3142634928226471,0.9626759530675427,0.9004614141161417,34,0.8155432957543776,0.5140223395818483
0.5,11,0.270967036485672,0.8626616478220882,1.0,34,0.8155432957543776,0.5301411286088452
0.6,12,0.27052560448646545,0.834572793589991,0.8399812237584299,34,0.8155432957543776,0.5286710592118021
0.7,13,0.2736690938472748,0.9214569861564823,0.8309684896283007,34,0.8155432957543776,0.5371604651984406
0.8,16,0.21783630549907684,0.8074363097600822,0.6745241139196733,14,0.335811945310626,0.5413675483564184
1.0,18,0.2148570716381073,0.8425488496248921,0.6898352625409201,17,0.4077716478771888,0.5515593852531467
