Reviewed PBMC4k label,Activated/transitional T cells,B cells,CD16+ non-classical monocytes,Classical monocytes,Cytotoxic CD8 T cells,IL7R+ memory/helper T cells,NK cells,Naive/resting T cells
Activated/transitional T cells,0.27906976744186046,0.09302325581395349,0.0,0.0,0.27906976744186046,10.511627906976745,0.0,88.83720930232558
B cells,0.0,99.83108108108108,0.0,0.0,0.16891891891891891,0.0,0.0,0.0
CD16+ non-classical monocytes,0.0,1.8867924528301887,93.39622641509435,4.716981132075472,0.0,0.0,0.0,0.0
Classical monocytes,0.3250270855904659,0.3250270855904659,0.21668472372697722,99.02491874322861,0.0,0.10834236186348861,0.0,0.0
Cytotoxic CD8 T cells,0.6802721088435374,0.0,0.0,0.0,82.6530612244898,13.26530612244898,1.1904761904761905,2.2108843537414966
IL7R+ memory/helper T cells,0.0,0.0,0.0,0.0,0.6818181818181818,95.68181818181817,0.0,3.6363636363636362
NK cells,1.1049723756906076,0.0,0.0,0.0,20.441988950276244,0.0,76.79558011049724,1.6574585635359116
Naive/resting T cells,0.0,0.0,0.0,0.0,0.0,9.895833333333332,0.0,90.10416666666666
