resolution,clusters,cluster_dataset_nmi,cluster_original_label_nmi,smallest_cluster
0.2,3,0.012313302568812657,0.5058185569475574,780
0.3,3,0.013523480771681801,0.5230475125131673,790
0.4,3,0.014094764814268357,0.5288465695048649,821
0.5,4,0.012971205695579543,0.4546614664434623,622
0.6,4,0.013178958312659576,0.4613538665206197,626
0.8,6,0.011957603979807493,0.4640962233488787,54
