reviewed_cell_type,model_knows_reviewed_class,cells,mean_max_probability,median_max_probability,low_confidence_percent
Activated/transitional T cells,True,128,0.812625905033201,0.8826231360435486,5.46875
B cells,True,348,0.987972154014412,0.998885989189148,0.0
CD16+ non-classical monocytes,True,171,0.9530948986086929,0.9915375709533691,0.5847953216374269
Classical monocytes,True,502,0.9820855633908534,0.9989355802536011,0.199203187250996
Cytotoxic CD8 T cells,True,273,0.9540808196469541,0.9910826683044434,0.3663003663003663
IL7R+ memory/helper T cells,True,602,0.8072071717030979,0.8611497581005096,5.3156146179401995
NK cells,True,153,0.9394717341155009,0.9912740588188171,0.6535947712418301
Naive/resting T cells,True,450,0.9270871788263321,0.9866912066936493,1.3333333333333335
Platelets,False,11,0.4409233196215196,0.41906628012657166,90.9090909090909
