stage,dataset_silhouette,cross_dataset_neighbor_fraction,cell_type_silhouette,cell_type_neighbor_purity,cluster_dataset_nmi,cluster_cell_type_ari,cluster_cell_type_nmi,n_clusters
Before Harmony,0.03232879936695099,0.09379031860934653,0.08781547099351883,0.8160535775840843,0.14212956560527187,0.5099895184242269,0.687848189412284,11
After Harmony,0.002918347827265022,0.44482198256758754,0.09152609053004153,0.7705027822918206,0.00631048472774288,0.5929450964802763,0.7353814878930981,9
