,precision,recall,f1-score,support
Activated/transitional T cells,0.25,0.0027906976744186047,0.005519779208831647,1075.0
B cells,0.9899497487437185,0.9983108108108109,0.9941126997476871,592.0
CD16+ non-classical monocytes,0.9801980198019802,0.9339622641509434,0.9565217391304348,106.0
Classical monocytes,0.9945593035908596,0.9902491874322861,0.992399565689468,923.0
Cytotoxic CD8 T cells,0.9169811320754717,0.826530612244898,0.8694096601073346,588.0
IL7R+ memory/helper T cells,0.6661392405063291,0.9568181818181818,0.7854477611940298,440.0
NK cells,0.952054794520548,0.7679558011049724,0.8501529051987767,181.0
Naive/resting T cells,0.14913793103448275,0.9010416666666666,0.2559171597633136,192.0
accuracy,0.6897730046375397,0.6897730046375397,0.6897730046375397,0.6897730046375397
macro avg,0.7373775212841738,0.7972074027378973,0.7136851587549845,4097.0
weighted avg,0.7102567856040168,0.6897730046375397,0.6520986697494143,4097.0
