model,external_cells,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,mean_max_probability,low_confidence_percent,accuracy_change_vs_frozen,macro_f1_change_vs_frozen
Frozen nine-class PBMC3k model,4097,0.6924578960214791,0.8010349031153421,0.7158127521151938,0.6527871025359622,0.6989673768363108,0.9350115,1.0251403465950695,0.0,0.0
Controlled eight-class PBMC3k model,4097,0.6897730046375397,0.7972074027378973,0.7136851587549845,0.6520986697494143,0.6961641517593303,0.94048226,0.5613863802782524,-0.0026848913839394584,-0.00212759336020929
