Reviewed PBMC3k label,Activated/transitional T cells,B cells,CD16+ non-classical monocytes,Classical monocytes,Cytotoxic CD8 T cells,Dendritic cells,IL7R+ memory/helper T cells,NK cells,Naive/resting T cells
Activated/transitional T cells,50.0,0.0,0.0,0.0,41.40625,0.0,7.03125,0.0,1.5625
B cells,0.8620689655172413,97.70114942528735,0.0,0.0,0.28735632183908044,0.5747126436781609,0.5747126436781609,0.0,0.0
CD16+ non-classical monocytes,0.0,0.0,94.15204678362574,5.847953216374268,0.0,0.0,0.0,0.0,0.0
Classical monocytes,0.0,0.0,1.7928286852589643,98.00796812749005,0.0,0.199203187250996,0.0,0.0,0.0
Cytotoxic CD8 T cells,1.465201465201465,0.0,0.0,0.0,90.84249084249085,0.0,1.098901098901099,6.593406593406594,0.0
Dendritic cells,,,,,,,,,
IL7R+ memory/helper T cells,33.5548172757475,0.16611295681063123,0.0,0.0,5.3156146179401995,0.0,60.96345514950167,0.0,0.0
NK cells,0.0,0.0,0.0,0.0,14.37908496732026,0.0,0.0,85.62091503267973,0.0
Naive/resting T cells,93.55555555555556,0.0,0.0,0.0,1.7777777777777777,0.0,1.1111111111111112,0.0,3.5555555555555554
Platelets,36.36363636363637,0.0,0.0,18.181818181818183,45.45454545454545,0.0,0.0,0.0,0.0
